## [BeGaze]
## Converted from:	F:\SMI-A\Datapluseyetrack\Participant 1-[1a9076ea-ef2c-4c0b-bd9d-37769ae604b9]\Participant 1-1-unified.smi
## Date:	04.11.2015 16:29:07
## Version:	BeGaze 3.6.40
## IDF Version:	10
## Sample Rate:	60
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	2949
## Reversed:	none
## [Run]
## Subject:	Participant 1
## Description:	Run1
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	, RIGHT
##
Time	Type	Trial	B POR X [px]	B POR Y [px]
368778860	SMP	1	623.04	575.26	
368796092	SMP	1	623.18	575.83	
368812758	SMP	1	622.67	576.00	
368828924	SMP	1	622.11	575.18	
368845742	SMP	1	622.49	574.48	
368862125	SMP	1	622.68	575.30	
368878840	SMP	1	621.64	575.79	
368895285	SMP	1	621.27	575.66	
368911648	SMP	1	622.00	576.86	
368928634	SMP	1	622.07	576.95	
368944957	SMP	1	619.71	578.11	
368962049	SMP	1	618.84	579.34	
368978698	SMP	1	620.31	576.59	
368994917	SMP	1	618.31	579.48	
369011883	SMP	1	619.47	577.41	
369027865	SMP	1	621.19	575.88	
369044843	SMP	1	620.36	575.56	
369061148	SMP	1	618.51	578.09	
369077804	SMP	1	618.00	579.02	
369094347	SMP	1	618.09	579.33	
369111200	SMP	1	618.86	576.45	
369127487	SMP	1	617.49	577.26	
369144247	SMP	1	617.06	579.34	
369160620	SMP	1	617.18	577.33	
369177322	SMP	1	617.96	576.68	
369193824	SMP	1	615.59	579.70	
369210781	SMP	1	614.44	579.86	
369227516	SMP	1	615.47	580.25	
369243546	SMP	1	615.16	579.69	
369260852	SMP	1	613.74	578.47	
369276969	SMP	1	615.44	579.20	
369294210	SMP	1	615.52	579.00	
369310198	SMP	1	615.29	577.95	
369326511	SMP	1	614.21	577.64	
369343574	SMP	1	615.36	578.27	
369359943	SMP	1	614.88	578.77	
369377076	SMP	1	615.23	577.88	
369393581	SMP	1	613.13	578.18	
369409610	SMP	1	613.40	578.49	
369426287	SMP	1	614.80	576.17	
369442932	SMP	1	614.30	579.52	
369459626	SMP	1	614.01	578.17	
369476254	SMP	1	614.06	577.46	
369492702	SMP	1	615.54	575.61	
369509449	SMP	1	616.95	577.24	
369525784	SMP	1	614.27	575.46	
369542593	SMP	1	614.88	573.78	
369559047	SMP	1	614.20	574.23	
369575556	SMP	1	613.82	574.03	
369592529	SMP	1	613.97	574.26	
369608761	SMP	1	614.41	574.33	
369625712	SMP	1	613.38	573.86	
369642512	SMP	1	613.40	573.75	
369658718	SMP	1	614.74	572.29	
369675040	SMP	1	613.83	574.15	
369691866	SMP	1	612.82	571.28	
369708526	SMP	1	613.69	571.25	
369725403	SMP	1	614.56	570.60	
369741430	SMP	1	613.64	569.72	
369758464	SMP	1	614.15	570.48	
369774581	SMP	1	614.01	570.20	
369791584	SMP	1	614.04	569.28	
369808293	SMP	1	614.01	569.54	
369824455	SMP	1	614.00	571.86	
369841149	SMP	1	614.36	570.10	
369857594	SMP	1	614.93	572.25	
369874458	SMP	1	613.45	572.35	
369891068	SMP	1	611.18	573.99	
369907623	SMP	1	612.53	575.27	
369924114	SMP	1	613.51	574.39	
369940738	SMP	1	612.76	575.60	
369957487	SMP	1	612.33	575.46	
369974031	SMP	1	612.70	577.33	
369990448	SMP	1	611.04	580.58	
370007513	SMP	1	607.34	597.32	
370023880	SMP	1	634.57	509.66	
370040868	SMP	1	693.07	250.27	
370057470	SMP	1	NaN	NaN	
370073555	SMP	1	NaN	NaN	
370090225	SMP	1	NaN	NaN	
370106859	SMP	1	NaN	NaN	
370123150	SMP	1	NaN	NaN	
370139895	SMP	1	-13936.06	-67.40	
370156577	SMP	1	634.00	495.97	
370173238	SMP	1	608.87	638.64	
370189938	SMP	1	613.36	608.66	
370206172	SMP	1	614.52	571.94	
370222968	SMP	1	617.14	565.74	
370239292	SMP	1	618.00	568.87	
370256267	SMP	1	617.22	570.74	
370272834	SMP	1	616.73	571.67	
370289456	SMP	1	616.95	571.75	
370306138	SMP	1	615.58	572.71	
370322347	SMP	1	614.50	574.39	
370339306	SMP	1	616.24	575.94	
370355724	SMP	1	615.82	575.56	
370372181	SMP	1	616.67	574.93	
370389066	SMP	1	614.81	572.61	
370405364	SMP	1	614.68	572.82	
370422476	SMP	1	614.00	573.84	
370438716	SMP	1	615.18	575.72	
370455148	SMP	1	613.95	574.16	
370472117	SMP	1	616.00	574.49	
370488330	SMP	1	613.87	575.35	
370505104	SMP	1	613.29	577.15	
370521700	SMP	1	612.98	574.72	
370538047	SMP	1	612.35	575.89	
370554837	SMP	1	612.13	574.61	
370571296	SMP	1	613.19	573.27	
370587806	SMP	1	612.47	571.71	
370605031	SMP	1	612.39	572.78	
370621235	SMP	1	612.50	573.06	
370637766	SMP	1	610.29	570.84	
370654279	SMP	1	611.48	572.47	
370670986	SMP	1	612.62	568.48	
370688272	SMP	1	612.48	569.81	
370704188	SMP	1	614.71	565.72	
370721126	SMP	1	613.68	568.44	
370737479	SMP	1	612.59	568.67	
370754238	SMP	1	612.90	568.39	
370770498	SMP	1	613.23	566.40	
370787145	SMP	1	611.75	568.43	
370803612	SMP	1	613.82	566.62	
370820123	SMP	1	614.04	566.86	
370836846	SMP	1	613.13	565.08	
370853552	SMP	1	614.32	563.78	
370869954	SMP	1	616.75	561.77	
370886495	SMP	1	617.06	562.02	
370903146	SMP	1	616.97	561.57	
370919818	SMP	1	616.14	563.32	
370936430	SMP	1	615.56	563.29	
370952869	SMP	1	616.21	563.71	
370969611	SMP	1	615.84	562.53	
370986136	SMP	1	616.90	563.10	
371002930	SMP	1	615.85	564.50	
371019687	SMP	1	616.26	564.08	
371035916	SMP	1	615.84	564.57	
371052821	SMP	1	616.15	566.72	
371069091	SMP	1	617.26	565.90	
371085995	SMP	1	616.86	567.02	
371102447	SMP	1	617.91	567.29	
371119200	SMP	1	616.57	566.30	
371135520	SMP	1	616.64	566.10	
371152159	SMP	1	617.30	566.84	
371169135	SMP	1	615.76	567.77	
371185622	SMP	1	615.87	568.14	
371201950	SMP	1	616.10	568.55	
371218957	SMP	1	617.63	568.09	
371235393	SMP	1	616.34	567.45	
371251892	SMP	1	616.67	570.72	
371268738	SMP	1	616.05	568.15	
371285041	SMP	1	616.14	568.45	
371301342	SMP	1	616.38	572.58	
371318223	SMP	1	616.14	571.59	
371334902	SMP	1	617.04	571.65	
371351811	SMP	1	617.50	570.76	
371367906	SMP	1	616.19	570.55	
371384561	SMP	1	612.73	583.36	
371400991	SMP	1	26869.10	6136.02	
371418099	SMP	1	NaN	NaN	
371434795	SMP	1	NaN	NaN	
371450952	SMP	1	NaN	NaN	
371467976	SMP	1	NaN	NaN	
371484037	SMP	1	NaN	NaN	
371500812	SMP	1	NaN	NaN	
371517635	SMP	1	NaN	NaN	
371533794	SMP	1	NaN	NaN	
371550841	SMP	1	NaN	NaN	
371567654	SMP	1	2939.77	1341.12	
371583761	SMP	1	816.65	299.62	
371600135	SMP	1	806.82	602.66	
371616778	SMP	1	814.78	594.83	
371634087	SMP	1	825.28	598.63	
371650415	SMP	1	821.05	596.08	
371666673	SMP	1	819.99	600.02	
371683842	SMP	1	819.19	597.84	
371700185	SMP	1	820.69	598.97	
371716785	SMP	1	818.59	599.08	
371733156	SMP	1	816.96	598.68	
371749658	SMP	1	815.24	597.92	
371766239	SMP	1	811.99	591.58	
371782748	SMP	1	810.58	593.92	
371799733	SMP	1	822.59	589.99	
371815878	SMP	1	824.47	581.11	
371832693	SMP	1	821.89	581.78	
371849496	SMP	1	818.59	577.91	
371865690	SMP	1	814.27	577.10	
371882448	SMP	1	810.80	576.57	
371898851	SMP	1	806.61	573.26	
371916104	SMP	1	800.06	573.15	
371932790	SMP	1	797.50	572.52	
371948676	SMP	1	796.08	574.33	
371965721	SMP	1	790.46	571.92	
371981973	SMP	1	787.98	570.47	
371998983	SMP	1	787.13	569.87	
372015692	SMP	1	783.23	571.41	
372031538	SMP	1	782.77	565.57	
372048715	SMP	1	774.70	567.87	
372064784	SMP	1	771.49	567.11	
372081627	SMP	1	771.23	565.49	
372098427	SMP	1	770.67	563.38	
372114663	SMP	1	766.88	564.40	
372131364	SMP	1	764.12	561.67	
372148755	SMP	1	762.69	560.86	
372164277	SMP	1	761.19	563.44	
372181248	SMP	1	767.91	561.42	
372197764	SMP	1	767.46	555.18	
372214537	SMP	1	770.14	558.71	
372230948	SMP	1	772.59	554.46	
372247410	SMP	1	772.02	552.93	
372264525	SMP	1	770.24	550.98	
372280560	SMP	1	770.37	553.07	
372297716	SMP	1	767.87	550.99	
372314254	SMP	1	767.80	550.14	
372330443	SMP	1	773.47	552.36	
372347323	SMP	1	776.18	550.48	
372363602	SMP	1	770.17	548.64	
372380514	SMP	1	764.46	550.38	
372396858	SMP	1	765.40	550.78	
372413602	SMP	1	764.43	548.38	
372430505	SMP	1	762.63	549.46	
372446555	SMP	1	761.52	548.71	
372463843	SMP	1	762.34	546.84	
372480190	SMP	1	758.01	547.81	
372496184	SMP	1	758.51	546.15	
372513321	SMP	1	758.99	549.26	
372529446	SMP	1	756.38	548.51	
372546409	SMP	1	756.25	546.33	
372563274	SMP	1	754.68	551.36	
372579152	SMP	1	754.39	548.33	
372596021	SMP	1	756.07	546.14	
372612522	SMP	1	753.50	548.66	
372629514	SMP	1	754.21	547.95	
372645981	SMP	1	752.75	547.53	
372662278	SMP	1	753.34	547.62	
372679477	SMP	1	757.08	548.90	
372695602	SMP	1	756.11	551.38	
372712131	SMP	1	755.48	548.13	
372729357	SMP	1	756.54	545.49	
372745410	SMP	1	755.78	545.83	
372762066	SMP	1	754.68	546.53	
372778591	SMP	1	753.31	547.38	
372795241	SMP	1	755.12	547.33	
372811997	SMP	1	754.35	548.76	
372828405	SMP	1	754.45	548.78	
372845429	SMP	1	754.83	548.51	
372861633	SMP	1	755.33	548.42	
372878697	SMP	1	756.43	548.93	
372894670	SMP	1	754.41	550.12	
372911239	SMP	1	756.04	549.29	
372928206	SMP	1	756.71	546.81	
372944509	SMP	1	755.45	547.29	
372961438	SMP	1	755.86	548.84	
372977787	SMP	1	754.39	548.70	
372994178	SMP	1	754.29	548.96	
373011306	SMP	1	755.92	549.24	
373027480	SMP	1	751.41	549.21	
373044552	SMP	1	746.75	547.95	
373061272	SMP	1	746.78	550.52	
373077158	SMP	1	745.68	551.20	
373093942	SMP	1	745.48	551.39	
373110298	SMP	1	741.91	551.04	
373127328	SMP	1	743.05	549.61	
373143924	SMP	1	743.62	549.64	
373160117	SMP	1	743.80	550.43	
373176980	SMP	1	744.86	549.85	
373193177	SMP	1	742.81	553.04	
373210011	SMP	1	745.48	551.95	
373226566	SMP	1	747.89	552.90	
373243123	SMP	1	745.87	552.49	
373260127	SMP	1	746.86	554.12	
373276297	SMP	1	747.04	551.78	
373293136	SMP	1	746.85	550.59	
373310160	SMP	1	747.17	550.68	
373326253	SMP	1	746.95	551.07	
373343110	SMP	1	748.01	551.12	
373359436	SMP	1	747.99	549.69	
373376437	SMP	1	746.25	547.13	
373392827	SMP	1	745.93	547.86	
373409232	SMP	1	746.04	546.58	
373426003	SMP	1	746.14	546.89	
373442208	SMP	1	744.17	547.92	
373459067	SMP	1	743.82	548.14	
373475869	SMP	1	742.26	548.86	
373492177	SMP	1	741.82	547.93	
373509170	SMP	1	741.54	549.17	
373525418	SMP	1	741.21	549.52	
373542064	SMP	1	740.28	550.18	
373558696	SMP	1	740.85	549.40	
373575085	SMP	1	740.80	548.89	
373591865	SMP	1	741.76	548.51	
373608428	SMP	1	741.55	548.82	
373625143	SMP	1	742.69	549.38	
373641640	SMP	1	741.80	548.92	
373658169	SMP	1	742.63	549.82	
373675161	SMP	1	741.51	552.70	
373691066	SMP	1	740.92	551.38	
373708053	SMP	1	738.95	553.76	
373725131	SMP	1	737.97	552.52	
373741025	SMP	1	738.47	553.76	
373757731	SMP	1	737.75	554.04	
373774180	SMP	1	738.09	554.36	
373791478	SMP	1	736.84	554.06	
373807656	SMP	1	735.86	556.68	
373823938	SMP	1	735.55	556.62	
373841241	SMP	1	736.08	556.74	
373857235	SMP	1	734.63	556.04	
373874150	SMP	1	736.34	555.69	
373890642	SMP	1	734.90	555.99	
373906884	SMP	1	735.27	554.87	
373924149	SMP	1	734.57	556.34	
373940219	SMP	1	732.28	556.60	
373957189	SMP	1	734.95	554.55	
373973702	SMP	1	734.49	555.10	
